노선ID,노선명,노선이력ID,지역ID,노선유형,배차,첫차시간,막차시간,거리,요금,노선설명,운행여부,곡률도,일반첫차일시,당일막차일시,일반막차여부,막차차량ID,저상버스첫차일시,저상버스막차일시,저상버스막차여부,저상버스막차ID,노선약칭,운행종료시간,운행종료이용,사용여부,노선운행구분,최소배차,최대배차,최고속도,최저속도,평균속도,좌석표출여부,운행소요시간,종점대기시간,인가선수,예비차량건수,대표노선ID,도착정보생성유형(1:교차로/2:정류장),기점명(인가정보),종점명(인가정보),배차(토요일),배차(공휴일),첫차시간(토요일),첫차시간(공휴일),막차시간(토요일),막차시간(공휴일)
100100251,5513,0,523,4,9,0.0530,0.2330,15.16,900.0,BASIC,1,1.549,20150717000000,20150717000000,,0,,,,0,5513,..,0,1,0,6,16,0,0,0,1,0,0,12,1,0,1,서울대학교,벽산블루밍아파트,9,13,0.0530,0.0530,0.2330,0.2330
100100563,91S투어,0,,5,0,0.0930,0.1700,0.0,0.0,BASIC,0,0.393,20160601093000,20160601170000,,0,,20150804000000,,0,91S투어,..,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,광화문,서울풍물시장,0,0,0.0930,0.0930,0.1700,0.1700
219000016,1200고양,523,219,8,18,0.044000,0.224000,0.0,0.0,정보없음,1,0.0,20160601045000,20160601233000,,0,,,,0,1200,,0,1,11,9,27,0,0,0,0,0,0,0,0,0,2,고양공영차고지,숭례문,8,8,0.045000,0.045000,0.233000,0.233000
222000075,2000남양주,523,222,8,25,0.045500,0.221000,0.0,0.0,정보없음,1,0.0,20160601045500,20160601220500,,0,,,,0,2000,,0,1,11,13,38,0,0,0,0,0,0,0,0,0,2,진벌리차고지(경유),강남역.강남역사거리,25,25,0.045500,0.045500,0.220500,0.220500
228000183,5002B용인,523,228,8,20,0.130000,0.230000,0.0,0.0,정보없음,1,0.0,20160601053000,20160601230000,,0,,20150828000000,,0,5002B,.,0,1,11,10,30,0,0,0,0,0,0,0,0,0,1,남동차고지,신논현역,20,20,0.0850,0.0850,0.2300,0.2300
219000021,72고양,523,219,8,180,0.0430,0.2250,0.0,0.0,2023.09.27. 노선폐선,0,0.0,20160601043000,20160601225000,,0,,,,0,72,.,0,0,0,90,270,0,0,0,0,0,0,0,0,0,1,대화동,현대백화점,20,20,0.0430,0.0430,0.2250,0.2250
229000099,2000-1파주,0,523,8,0,0.0630,0.0715,0.0,0.0,,0,0.0,20160601063000,20160601071500,,0,,,,0,2000-1,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,0.0630,0.0630,0.0715,0.0715
232000016,69김포,523,232,8,110,0.0530,0.2200,0.0,0.0,2022.01.17. 폐선,0,0.0,20160601050000,20160601220000,,0,,,,0,69,.,0,0,0,55,165,0,0,0,0,0,0,0,0,0,2,유현마을.신동아아파트,당산역,20,20,0.0500,0.0500,0.2200,0.2200
204000075,110성남,0,523,8,30,0.0500,0.2200,0.0,0.0,,0,0.0,20160601050000,20160601220000,,0,,,,0,110,,0,0,0,10,30,0,0,0,0,0,0,0,0,0,2,,,30,30,0.0500,0.0500,0.2200,0.2200
204000076,82성남,0,523,8,0,0.0710,0.0840,0.0,0.0,,0,0.0,20160601071000,20160601084000,,0,,,,0,82,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,0.0710,0.0710,0.0840,0.0840
219000014,77고양,523,219,8,95,0.0440,0.2245,0.0,0.0,2020.08.13. 코로나로 인한 감차로 인해 정보 미제공을 위한 폐선처리,0,0.0,20160601044000,20160601224500,,0,,,,0,77,.,0,0,0,48,143,0,0,0,0,0,0,0,0,0,2,고양공영차고지,신촌기차역,25,25,0.0440,0.0440,0.2245,0.2245
219000015,921고양,523,219,8,180,0.050000,0.230000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601230000,,0,,,,0,921,,0,1,13,90,270,0,0,0,0,0,0,0,0,0,2,성석동,공덕역1번출구,13,13,0.050000,0.050000,0.230000,0.230000
200000150,7800수원,523,200,8,10,0.050000,0.230000,0.0,0.0,정보없음,1,0.0,20160601051500,20160601000000,,0,,,,0,7800,,0,1,11,5,15,0,0,0,0,0,0,0,0,0,2,호매실동차고지,사당역,20,20,0.051500,0.051500,1.0000,1.0000
222000022,91남양주,523,222,8,250,0.0440,0.2230,0.0,0.0,정보없음,0,0.0,20160601044000,20160601223000,,0,,,,0,91,.,0,0,0,125,375,0,0,0,0,0,0,0,0,0,2,진벌리차고지(경유),강변역B,30,30,0.0440,0.0440,0.2230,0.2230
